PERIOD,YEAR,STATS_VALUE
June,1990,10.1
July,1990,10.6
August,1990,11.3
September,1990,11.3
October,1990,14.8
November,1990,16
December,1990,18.5
January,1991,19.1
February,1991,19.8
March,1991,17.2
April,1991,14.6
July,1991,9.1
August,1991,11.6
September,1991,12.2
October,1991,13.2
November,1991,14.4
December,1991,17
January,1992,18.5
February,1992,18.9
March,1992,16.5
April,1992,13.1
May,1992,11.3
June,1992,9.8
July,1992,10.7
August,1992,10
September,1992,10.7
October,1992,12.5
November,1992,16.2
December,1992,17.2
January,1993,18.8
February,1993,18.5
March,1993,16.6
April,1993,14.1
May,1993,12.5
June,1993,11.3
July,1993,9.2
August,1993,9.9
September,1993,10.7
October,1993,14.1
November,1993,14.4
December,1993,16.8
January,1994,19.7
February,1994,19.5
March,1994,16.4
April,1994,15.1
May,1994,13.6
June,1994,9.8
July,1994,10.1
August,1994,10.1
September,1994,11.1
October,1994,13
November,1994,15.5
December,1994,18.5
January,1995,18.8
February,1995,20
March,1995,18.4
April,1995,17.4
May,1995,13.7
June,1995,10.5
July,1995,9.8
August,1995,9.9
September,1995,12
October,1995,13.9
November,1995,14.9
December,1995,19.1
January,1996,20.1
February,1996,20.3
March,1996,17.1
April,1996,16.5
May,1996,12.5
June,1996,9.9
July,1996,10.2
August,1996,10.3
September,1996,12.8
October,1996,14.1
November,1996,15.1
December,1996,16.8
January,1997,18
February,1997,19.4
March,1997,17.6
April,1997,14.6
May,1997,13.8
June,1997,10.1
July,1997,9.4
August,1997,10.2
September,1997,11.8
October,1997,13.9
November,1997,16.5
December,1997,18
January,1998,19.6
February,1998,21.4
March,1998,19.7
April,1998,16.7
May,1998,13.5
June,1998,11.9
July,1998,12.2
August,1998,10.9
September,1998,12.4
October,1998,15.3
November,1998,16.6
December,1998,18.3
January,1999,21.4
February,1999,19.8
March,1999,19.8
April,1999,16.2
May,1999,13.8
June,1999,11
July,1999,10.3
August,1999,10.3
September,1999,12.5
October,1999,14.6
November,1999,16.3
December,1999,17.6
January,2000,18.9
February,2000,20.1
March,2000,18.5
April,2000,16.5
May,2000,14
June,2000,11.5
July,2000,12.5
August,2000,10.5
September,2000,12.5
October,2000,14.7
November,2000,14.7
December,2000,18.9
January,2001,19.4
February,2001,20.7
March,2001,17.9
April,2001,15.6
May,2001,14.4
June,2001,10.3
July,2001,9.2
August,2001,11
September,2001,12.4
October,2001,15.5
November,2001,16.3
December,2001,19
January,2002,18.7
February,2002,18.7
March,2002,18.7
April,2002,15
May,2002,13.7
June,2002,12.9
July,2002,11.1
August,2002,10.4
September,2002,12.6
October,2002,12.8
November,2002,14.9
December,2002,18
January,2003,18.9
February,2003,19
March,2003,18.3
April,2003,16
May,2003,14
June,2003,12.5
July,2003,9.2
August,2003,11.1
September,2003,13.3
October,2003,13.2
November,2003,15.4
December,2003,18.8
January,2004,20.6
February,2004,18.8
March,2004,16.4
April,2004,14.6
May,2004,14.2
June,2004,11.6
July,2004,9.7
August,2004,9.7
September,2004,11.5
October,2004,14.5
November,2004,15.9
December,2004,15.9
January,2005,19
February,2005,20.9
March,2005,19
April,2005,15.4
May,2005,14.1
June,2005,10.9
July,2005,10.9
August,2005,10.8
September,2005,13.3
October,2005,14.3
November,2005,15.5
December,2005,19.2
January,2006,19.7
February,2006,20
March,2006,17.6
April,2006,16.8
May,2006,13.5
June,2006,9.4
July,2006,10.5
August,2006,10.6
September,2006,13.1
October,2006,13.8
November,2006,16.1
December,2006,16.4
January,2007,19.5
February,2007,19.4
March,2007,18.9
April,2007,15.3
May,2007,14.2
June,2007,11.4
July,2007,11
August,2007,11.7
September,2007,12.5
October,2007,14.2
November,2007,15.8
December,2007,18.6
January,2008,20.7
February,2008,19.8
March,2008,19.2
April,2008,16.5
May,2008,12.5
June,2008,11.3
July,2008,10.5
August,2008,11
September,2008,13.3
October,2008,14.6
November,2008,16.4
December,2008,18.9
January,2009,20.3
February,2009,21.1
March,2009,18.1
April,2009,15.7
May,2009,12
June,2009,9.9
July,2009,10.1
August,2009,12.8
September,2009,13.1
October,2009,13.5
November,2009,16.5
December,2009,18.4
January,2010,19.5
February,2010,21.2
March,2010,19
April,2010,16.2
May,2010,13.9
June,2010,11.6
July,2010,10.1
August,2010,11.8
September,2010,13.4
October,2010,14.7
November,2010,17.1
December,2010,19.8
January,2011,20.6
February,2011,21.7
March,2011,18.7
April,2011,16
May,2011,15.1
June,2011,12.6
July,2011,11.2
August,2011,10.5
September,2011,11.7
October,2011,15
November,2011,17
December,2011,18.2
January,2012,19.4
February,2012,19.3
March,2012,18.1
April,2012,16.8
May,2012,12.7
June,2012,10.7
July,2012,10.8
August,2012,11.7
September,2012,12.8
October,2012,13.9
November,2012,15.3
December,2012,19.4
January,2013,19.8
February,2013,19.8
March,2013,19.4
April,2013,17.3
May,2013,14.2
June,2013,11.4
July,2013,10.3
August,2013,12.5
September,2013,13.4
October,2013,15.3
November,2013,17.7
December,2013,18.7
January,2014,19
February,2014,20.1
March,2014,18.2
April,2014,17.8
May,2014,13.5
June,2014,13.1
July,2014,10.7
August,2014,11
September,2014,13.7
October,2014,14.4
November,2014,15.8
December,2014,18.1
January,2015,21.2
February,2015,19.6
March,2015,18.7
April,2015,16.6
May,2015,13
June,2015,11.6
July,2015,9.8
August,2015,10.6
September,2015,11.9
October,2015,14.9
November,2015,16.2
December,2015,18.3
January,2016,20.6
February,2016,21.7
March,2016,19.6
April,2016,16.6
May,2016,15.6
June,2016,12.3
July,2016,10.9
August,2016,11
September,2016,13.5
October,2016,14.8
November,2016,16.6
December,2016,17.8
January,2017,19.5
February,2017,20.6
March,2017,19.5
April,2017,16.9
May,2017,13
June,2017,11.8
July,2017,10.3
August,2017,12
September,2017,12.9
October,2017,14.9
November,2017,16.7
December,2017,19.9
January,2018,22.1
February,2018,21
March,2018,19.9
April,2018,16.6
May,2018,14.1
June,2018,11.5
July,2018,10.7
August,2018,11.4
September,2018,12.9
October,2018,14.3
November,2018,16.4
December,2018,19.3
January,2019,22.1
February,2019,21
March,2019,19.7
April,2019,15.7
May,2019,14.2
June,2019,11
July,2019,12
August,2019,11.7
September,2019,12.9
October,2019,14.3
November,2019,18.1
December,2019,19.6
January,2020,20.2
February,2020,21.5
March,2020,18.1
April,2020,16.2
May,2020,13.7
June,2020,12.8
July,2020,10.9
August,2020,12.1
September,2020,12.9
October,2020,15.4
November,2020,17.2
December,2020,18.8
January,2021,20.3
February,2021,19.8
March,2021,18.6
April,2021,16.9
June,2021,13.1
July,2021,10.8
August,2021,11.3
September,2021,12.7
October,2021,15.1
November,2021,18.4
December,2021,20.9
January,2022,21.2
February,2022,21.2
March,2022,19.6
April,2022,17.2
May,2022,14.8
June,2022,12.9
July,2022,12.5
August,2022,12.1
September,2022,13
October,2022,14.8
November,2022,17.4
December,2022,19.2
January,2023,20.1
February,2023,20
March,2023,18.2
April,2023,17.3
May,2023,15.3
June,2023,12.6
July,2023,11.9
August,2023,10.2
September,2023,13.9
October,2023,14.9
November,2023,16.7
December,2023,19.5
January,2024,21.3
February,2024,20.2
March,2024,17.5
April,2024,16.1
May,2024,12.7
June,2024,12.3
July,2024,10.7
August,2024,11.4
September,2024,13.4
October,2024,15
November,2024,17
December,2024,20
January,2025,19.3
February,2025,20.9
March,2025,18.9
April,2025,18.1
May,2025,14.5
June,2025,12.3
July,2025,11.6
August,2025,11.7
September,2025,13.7
October,2025,16.3
